line,part,cost,coreprice,qtyonhand,packs,sku
,PA2150,8.96,,2,,BFDG_PA2150
,PA2167,10.37,,5,,BFDG_PA2167
,PA10220,17.2,,5,,BFDG_PA10220
,PA10296,12.05,,20,,BFDG_PA10296
,PA2010,9.69,,4,,BFDG_PA2010
,PA10291,25.49,,2,,BFDG_PA10291
,PA2158,9.26,,5,,BFDG_PA2158
,PA10316,29.84,,1,,BFDG_PA10316
,PA10311,26.47,,1,,BFDG_PA10311
,PA2081,12.98,,4,,BFDG_PA2081
,PA10235,17.33,,12,,BFDG_PA10235
,PA2008,9.63,,132,,BFDG_PA2008
,PA4016,23.1,,4,,BFDG_PA4016
,PA2110,10.85,,1,,BFDG_PA2110
,PA10245,22.77,,1,,BFDG_PA10245
,PA2214,18.66,,1,,BFDG_PA2214
,PA2031,8.3,,2,,BFDG_PA2031
,PA10306,14.2,,1,,BFDG_PA10306
,PA10281,21.38,,26,,BFDG_PA10281
,PA10230,16.1,,1,,BFDG_PA10230
,PA10286,17.2,,6,,BFDG_PA10286
,PA10301,48.64,,1,,BFDG_PA10301
,PA4050,12.78,,12,,BFDG_PA4050
,PA10276,29.56,,2,,BFDG_PA10276
,PA10266,31.15,,1,,BFDG_PA10266
,PA10261,12.14,,5,,BFDG_PA10261
,PA2115,23.11,,4,,BFDG_PA2115
,PA10250,14.45,,5,,BFDG_PA10250
,PA10225,18.05,,17,,BFDG_PA10225
,PA2091,11.73,,4,,BFDG_PA2091
,PA2134,9.38,,6,,BFDG_PA2134
,PA2231,12.6,,20,,BFDG_PA2231
,PA2103,9.3,,19,,BFDG_PA2103
,PA4045,13.99,,1,,BFDG_PA4045
,PA4071,14.73,,5,,BFDG_PA4071
,PA4078,20.75,,5,,BFDG_PA4078
,PA2171,17.36,,3,,BFDG_PA2171
,PA2163,10.78,,43,,BFDG_PA2163
,3160500006,60.19,,5,,CNHL_3160500006
,3160500048,76.71,,11,,CNHL_3160500048
,3160500021,44.05,,4,,CNHL_3160500021
,1160500092,136.71,,3,,CNHL_1160500092
,3160504371,49.57,,14,,CNHL_3160504371
,5160509601,62.54,,12,,CNHL_5160509601
,1160500097,188.05,,4,,CNHL_1160500097
,1160308233,33.52,,2,,CNHL_1160308233
,5160103284,10.43,,12,,CNHL_5160103284
,1160500017,81.42,,1,,CNHL_1160500017
,53160200009,17.1,,11,,CNHL_53160200009
,1160100005,21.05,,1,,CNHL_1160100005
,3160104306,10.08,,16,,CNHL_3160104306
,3160350008,45.84,,1,,CNHL_3160350008
,3160503902,51.74,,9,,CNHL_3160503902
,1160200013,15.05,,2,,CNHL_1160200013
,3160100010,24.6,,16,,CNHL_3160100010
,53160200001,9.07,,6,,CNHL_53160200001
,1160107170,11.14,,1,,CNHL_1160107170
,1160103918,8.87,,1,,CNHL_1160103918
,1160100033,21.64,,15,,CNHL_1160100033
,1160208218,8.54,,13,,CNHL_1160208218
,1160307197,24.53,,1,,CNHL_1160307197
,1160303924,24.53,,4,,CNHL_1160303924
,PA4306,16.87,,7,,BFDG_PA4306
,PA4311,11.45,,1,,BFDG_PA4311
,PA4198,20.04,,15,,BFDG_PA4198
,PA4374,15.04,,146,,BFDG_PA4374
,PA4369,19.8,,21,,BFDG_PA4369
,PA4442,9.38,,82,,BFDG_PA4442
,PA4333,16.72,,107,,BFDG_PA4333
,PA4322,25.64,,15,,BFDG_PA4322
,PA4466,33.56,,81,,BFDG_PA4466
,PA4454,22.24,,5,,BFDG_PA4454
,B27,9.48,,238,,BFDG_B27
,P40117,26.81,,1,,BFDG_P40117
,B329,10.28,,1477,,BFDG_B329
,B34,9.82,,652,,BFDG_B34
,P40112,22.5,,15,,BFDG_P40112
,P40107,24.79,,6,,BFDG_P40107
,B39,9.69,,125,,BFDG_B39
,TB276,24.52,,3,,BRBV_TB276
,B301,11.19,,33,,BFDG_B301
,VTS0010,113.78,,67,,BJDJ_VTS0010
